time_fs,energy_kcal,C3-H7,O2-H7,O1-O2,C1-O1
1.5,-192171.7568649749,1.0599090542948424,2.168286899206575,1.3689355877053548,1.2957305077043855
3.0,-192171.75597363163,1.0612376860690658,2.2387718572958817,1.3782471183066356,1.3016010682908181
4.5,-192171.75597471563,1.0709267475533353,2.310145799126216,1.3883070644767057,1.308237877066021
6.0,-192171.75618817334,1.0885887754216683,2.3822646616031045,1.3990824514633113,1.3156131039763577
7.5,-192171.77953435076,1.1136843249500763,2.4550004411915882,1.4105410374054053,1.3236982215064073
9.0,-192172.36435936127,1.145579367338676,2.5282041605016996,1.422670970583532,1.332460972079842
10.5,-192175.69899362346,1.1844222270256592,2.601552953384464,1.4356243559772042,1.341888799332271
12.0,-192181.46826348684,1.2328441322320303,2.674832416514253,1.449754381964179,1.3520715380130182
13.5,-192186.11105143162,1.292159861617116,2.7483504873278624,1.465135365235075,1.3630746513451635
15.0,-192188.60275161205,1.3599363461314538,2.822311933062272,1.4815513641925784,1.3748329899223377
16.5,-192189.69201828522,1.4329274603011988,2.8966233438400524,1.4987878033368385,1.387248403098641
18.0,-192190.13234333904,1.5088713755883032,2.9711212328276178,1.5167095166594997,1.400246523808791
19.5,-192190.3164589004,1.5864973270854807,3.0456823050965682,1.535236254308614,1.4137769729716638
21.0,-192190.4088697651,1.6651092874371356,3.120224487155914,1.5543143613748764,1.4278026524699239
22.5,-192190.47330648205,1.7443086042686966,3.1946868346505184,1.5739011584665907,1.4422923211553191
24.0,-192190.5295972508,1.823860503925253,3.2690168355412133,1.5939578400882872,1.4572167876068967
25.5,-192190.5791672468,1.9036228807409354,3.3431670190451395,1.6144470558433544,1.472547509659861
27.0,-192190.61932330322,1.9835028753866295,3.417096307658602,1.6353328894157293,1.4882566233552545
28.5,-192190.6491422708,2.063432519993034,3.4907715061903053,1.6565815358780978,1.504317458582116
30.0,-192190.66986400782,2.1433569167497977,3.5641671470854024,1.6781617464109888,1.5207049299236133
31.5,-192190.6836328743,2.2232289302591925,3.6372641336862834,1.7000448624340074,1.5373956465695897
33.0,-192190.6925296359,2.30300680703837,3.710048093153354,1.7222045972450597,1.554367827106482
