# Frequency (cm-1)	Intensity (arb. units)
352.24	6.570152e-08
353.58	6.474011e-08
354.91	6.379399e-08
356.25	6.286290e-08
357.58	6.194658e-08
358.91	6.104479e-08
360.25	6.015727e-08
361.58	5.928378e-08
362.92	5.842409e-08
364.25	5.757796e-08
365.59	5.674516e-08
366.92	5.592547e-08
368.25	5.511866e-08
369.59	5.432452e-08
370.92	5.354283e-08
372.26	5.277339e-08
373.59	5.201598e-08
374.93	5.127041e-08
376.26	5.053648e-08
377.59	4.981398e-08
378.93	4.910274e-08
380.26	4.840256e-08
381.60	4.771325e-08
382.93	4.703465e-08
384.27	4.636655e-08
385.60	4.570880e-08
386.93	4.506122e-08
388.27	4.442364e-08
389.60	4.379590e-08
390.94	4.317782e-08
392.27	4.256926e-08
393.61	4.197005e-08
394.94	4.138003e-08
396.27	4.079907e-08
397.61	4.022700e-08
398.94	3.966369e-08
400.28	3.910898e-08
401.61	3.856273e-08
402.95	3.802481e-08
404.28	3.749509e-08
405.61	3.697341e-08
406.95	3.645966e-08
408.28	3.595371e-08
409.62	3.545542e-08
410.95	3.496467e-08
412.29	3.448135e-08
413.62	3.400531e-08
414.95	3.353646e-08
416.29	3.307467e-08
417.62	3.261983e-08
418.96	3.217182e-08
420.29	3.173054e-08
421.63	3.129587e-08
422.96	3.086772e-08
424.29	3.044596e-08
425.63	3.003051e-08
426.96	2.962125e-08
428.30	2.921809e-08
429.63	2.882094e-08
430.96	2.842969e-08
432.30	2.804425e-08
433.63	2.766453e-08
434.97	2.729043e-08
436.30	2.692187e-08
437.64	2.655875e-08
438.97	2.620100e-08
440.30	2.584852e-08
441.64	2.550123e-08
442.97	2.515905e-08
444.31	2.482190e-08
445.64	2.448970e-08
446.98	2.416236e-08
448.31	2.383982e-08
449.64	2.352199e-08
450.98	2.320881e-08
452.31	2.290020e-08
453.65	2.259608e-08
454.98	2.229639e-08
456.32	2.200105e-08
457.65	2.171001e-08
458.98	2.142318e-08
460.32	2.114051e-08
461.65	2.086193e-08
462.99	2.058737e-08
464.32	2.031678e-08
465.66	2.005009e-08
466.99	1.978724e-08
468.32	1.952817e-08
469.66	1.927283e-08
470.99	1.902115e-08
472.33	1.877307e-08
473.66	1.852855e-08
475.00	1.828752e-08
476.33	1.804993e-08
477.66	1.781574e-08
479.00	1.758488e-08
480.33	1.735731e-08
481.67	1.713297e-08
483.00	1.691182e-08
484.34	1.669380e-08
485.67	1.647887e-08
487.00	1.626699e-08
488.34	1.605810e-08
489.67	1.585215e-08
491.01	1.564911e-08
492.34	1.544893e-08
493.67	1.525157e-08
495.01	1.505698e-08
496.34	1.486512e-08
497.68	1.467595e-08
499.01	1.448943e-08
500.35	1.430551e-08
501.68	1.412417e-08
503.01	1.394535e-08
504.35	1.376903e-08
505.68	1.359516e-08
507.02	1.342371e-08
508.35	1.325464e-08
509.69	1.308792e-08
511.02	1.292351e-08
512.35	1.276137e-08
513.69	1.260147e-08
515.02	1.244378e-08
516.36	1.228827e-08
517.69	1.213489e-08
519.03	1.198363e-08
520.36	1.183445e-08
521.69	1.168731e-08
523.03	1.154219e-08
524.36	1.139906e-08
525.70	1.125789e-08
527.03	1.111865e-08
528.37	1.098130e-08
529.70	1.084583e-08
531.03	1.071221e-08
532.37	1.058040e-08
533.70	1.045038e-08
535.04	1.032213e-08
536.37	1.019561e-08
537.71	1.007081e-08
539.04	9.947695e-09
540.37	9.826243e-09
541.71	9.706430e-09
543.04	9.588232e-09
544.38	9.471625e-09
545.71	9.356586e-09
547.05	9.243092e-09
548.38	9.131120e-09
549.71	9.020649e-09
551.05	8.911656e-09
552.38	8.804121e-09
553.72	8.698021e-09
555.05	8.593337e-09
556.38	8.490047e-09
557.72	8.388132e-09
559.05	8.287572e-09
560.39	8.188347e-09
561.72	8.090438e-09
563.06	7.993826e-09
564.39	7.898492e-09
565.72	7.804418e-09
567.06	7.711587e-09
568.39	7.619979e-09
569.73	7.529578e-09
571.06	7.440367e-09
572.40	7.352327e-09
573.73	7.265444e-09
575.06	7.179700e-09
576.40	7.095079e-09
