time_fs,energy_kcal,C3-H7,O2-H7,O1-O2,C1-O1
1.5,-192221.3771632404,1.0551857664542603,2.176352693628253,1.3728099761984467,1.299777885897223
3.0,-192221.61890450396,1.0664039438393784,2.230083972171777,1.3823794920813315,1.3106007451241264
4.5,-192220.7752421018,1.0677263395529148,2.2555706520001544,1.388777853973874,1.316259940022283
6.0,-192225.9759797331,1.0471417090987385,2.2550013486881424,1.3913611822938368,1.315119860168537
7.5,-192229.62794640218,1.0587086797706589,2.2257131689588605,1.3888650700672704,1.311734269553796
9.0,-192239.63981267784,1.0847037119697203,2.192509782841431,1.3815066574214125,1.3075317010554175
10.5,-192250.33586359836,1.0956360021652265,2.173394633512679,1.3723436915758163,1.2999261394026853
12.0,-192269.1151789774,1.105345534470874,2.16633781908174,1.3652598250270593,1.291628845707532
13.5,-192296.22713515192,1.1001774718716426,2.1890542188654165,1.3637699614660335,1.2884402998943252
15.0,-192323.42483035743,1.0701385462305204,2.254227872039517,1.3704486741126503,1.2909562777822257
16.5,-192341.5313907478,1.0485381848034538,2.3472981124803405,1.38667146504167,1.2950540540283515
18.0,-192340.6132696925,1.0281518969410033,2.46456905561889,1.4123912465950503,1.296256877548773
19.5,-192332.08089199293,0.9941380243752556,2.5896269725494965,1.4448410146460657,1.295863927236387
21.0,-192321.5219475019,0.9825745221713252,2.695890863787877,1.4800006756307793,1.3009184214651497
22.5,-192309.22193310288,0.9918144974745366,2.771981145597224,1.5145229027895633,1.3166855903747383
24.0,-192300.9886935897,0.9940536467186257,2.8117738327878907,1.5467112598216401,1.3434396556619457
25.5,-192300.3221042534,0.9998939593276875,2.81268803795105,1.5761217184295813,1.3784292300305592
27.0,-192297.89147041301,1.015867054699054,2.784836440159512,1.602483231537708,1.4179064357156383
28.5,-192291.56386367857,1.0240382814817008,2.750577930273635,1.6248952313861356,1.4581695168547308
30.0,-192287.1690738275,1.0226275233064064,2.7327098302353705,1.6423157309315826,1.4958371966829647
31.5,-192283.8675783895,1.0268709047146694,2.7436642354267042,1.6549529263059224,1.5270460894980624
33.0,-192279.40378240362,1.0366642926451266,2.7821195408015127,1.6642369971890585,1.5475431066263279
34.5,-192277.35599950116,1.0388689829677928,2.836555275623885,1.6712097389389975,1.5545218009782815
36.0,-192276.81321989043,1.0342509227634955,2.8929367705391424,1.6756666099846629,1.5468246851422975
37.5,-192273.21552354613,1.0318811482684722,2.939042109861125,1.6771094422653117,1.5236587058535218
39.0,-192269.53546089068,1.0244620821986035,2.9637563577194594,1.6758520721695407,1.4847872873327237
40.5,-192271.20906321524,0.9990818141145531,2.9608321365108687,1.672339446228274,1.432327320453368
42.0,-192275.04984512413,0.9701879650730941,2.9375224931774975,1.6659374593061207,1.3724979623982423
43.5,-192277.7948478091,0.965337546853599,2.909421582758056,1.6548934944132032,1.31592170379652
45.0,-192280.80829159106,0.9799328317027133,2.8843926918386034,1.6374761895735113,1.2746484671070188
46.5,-192284.02112271544,0.9871793527062528,2.8607722887992497,1.6134274052762532,1.2566007328476212
48.0,-192291.2130981979,0.9838040336609829,2.835392795978101,1.5842971650133366,1.2613752816101764
49.5,-192301.46437493712,0.9936734258432638,2.8012199995369182,1.551879679894258,1.2815721162023492
51.0,-192311.09194077284,1.0184834994800038,2.736561503415599,1.5170400574589373,1.3097401595467604
52.5,-192325.60365833697,1.0348377718503776,2.6231399210980486,1.4811856148059488,1.3424373402788234
54.0,-192339.5352518032,1.0428356429172465,2.4853711737292743,1.4482926226929829,1.3760164963671706
55.5,-192340.14090100248,1.0744438266166765,2.3835885833814086,1.4241728472379593,1.4054958083783418
57.0,-192343.23629247976,1.102107123872682,2.3681359624190637,1.412700984840962,1.4288072626179873
58.5,-192345.61758999902,1.0646997562004197,2.4508361782057637,1.4141876343731146,1.4439134298603817
60.0,-192333.24829926057,1.0101613848677324,2.5820463445764807,1.426769800743781,1.4465744222408972
61.5,-192328.4213059084,1.0346539234155876,2.6886982298445736,1.4473173743704655,1.4360036906505367
63.0,-192320.90021354865,1.0444518794136322,2.7408065635727437,1.4732675756636202,1.415857700517992
64.5,-192315.7541024302,0.9854338941284846,2.725249112375772,1.5032826389140692,1.394472906643455
66.0,-192316.6375045939,0.9807188880476978,2.649045694048548,1.537031160839765,1.379831943945785
67.5,-192311.3167866075,1.0113155647160676,2.5488725283614673,1.5731252461168979,1.373478128736547
69.0,-192304.11702473898,1.008218991321121,2.457020849356214,1.6088244411250396,1.3704618879078208
70.5,-192299.2136222214,1.051031605930757,2.358427003843337,1.642626856965153,1.3627735653098123
72.0,-192298.35025200967,1.084331072511459,2.2748065007227054,1.674601264798467,1.3488050929118598
73.5,-192301.2654370733,1.054448644511561,2.2379599668469226,1.7051089315913583,1.3385302187903168
75.0,-192305.7152235749,1.0550523020326,2.2143219988553624,1.7334940034614177,1.3419042356756221
76.5,-192311.0805622649,1.0661877973549225,2.217152365611059,1.757208248902906,1.3577408164018594
78.0,-192311.11959778078,1.0121734806801614,2.2757282330962876,1.7739305347658096,1.3807457406972592
79.5,-192309.512568418,0.9741931006426808,2.3388927098225474,1.7831545294409827,1.4074180840338384
81.0,-192312.6494637941,0.9752293995562115,2.3967393092497202,1.7844495354476455,1.4316321770006812
82.5,-192315.12840179456,0.963293612765659,2.471515947185829,1.7767743078315985,1.447389110036074
84.0,-192321.68789160278,0.9735592628568795,2.549346532322618,1.7600517203051604,1.4541718815727547
85.5,-192329.50756544305,1.0022538246065436,2.609005634947677,1.7358943696459919,1.4507320859718338
87.0,-192335.60388325326,0.9994065869568715,2.629324076704684,1.7075850661818655,1.4345190873637288
88.5,-192338.12775693022,1.0211015786219935,2.596811527181826,1.6786693209403745,1.4099598311280506
90.0,-192336.5723310707,1.062514016277618,2.529806291668481,1.6522875397749894,1.3866203674992903
91.5,-192337.1807517303,1.0316622715835413,2.4706418405357766,1.6327766333234564,1.3687130578533349
93.0,-192339.39334809172,0.9850564967553065,2.444270984764064,1.6236441290365917,1.3557702286516264
94.5,-192344.76597396852,1.015078881353602,2.4468893829568437,1.6232634616908026,1.3506387877549741
96.0,-192347.41790987927,1.0130675857223925,2.485413635507468,1.6270889212558204,1.3560041887294942
97.5,-192347.10280079633,0.9659257379958596,2.5409253790956754,1.6327786210425803,1.369296265801333
99.0,-192357.51179673543,1.0101130235258822,2.5699810209980525,1.6375373736883598,1.390880924707993
100.5,-192359.62964917638,1.012030371389165,2.5811969089470006,1.6379451460707062,1.4213933699539796
102.0,-192353.5425577223,0.9772896134210439,2.5869830855693414,1.6345814077299152,1.4549944603495837
