# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_syn_trans_2000K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_syn_trans_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 136  FWHM: 30.0 cm-1
# # frequency_cm-1,intensity_normalized
0.000000000000000000e+00,3.163882383508468277e-03
1.000000000000000000e+00,3.186251290991805492e-03
2.000000000000000000e+00,3.209071925754279631e-03
3.000000000000000000e+00,3.232360423222179185e-03
4.000000000000000000e+00,3.256133730685585419e-03
5.000000000000000000e+00,3.280409659494587168e-03
6.000000000000000000e+00,3.305206941308998399e-03
7.000000000000000000e+00,3.330545288767453385e-03
8.000000000000000000e+00,3.356445460978970709e-03
9.000000000000000000e+00,3.382929334281642962e-03
1.000000000000000000e+01,3.410019978759199367e-03
1.100000000000000000e+01,3.437741741057773973e-03
1.200000000000000000e+01,3.466120334102473603e-03
1.300000000000000000e+01,3.495182934377490201e-03
1.400000000000000000e+01,3.524958287504975901e-03
1.500000000000000000e+01,3.555476822937892432e-03
1.600000000000000000e+01,3.586770778671444140e-03
1.700000000000000000e+01,3.618874336977885488e-03
1.800000000000000000e+01,3.651823772281448215e-03
1.900000000000000000e+01,3.685657612415853875e-03
2.000000000000000000e+01,3.720416814647669896e-03
2.100000000000000000e+01,3.756144958006724186e-03
2.200000000000000000e+01,3.792888453642050042e-03
2.300000000000000000e+01,3.830696775120623256e-03
2.400000000000000000e+01,3.869622710809516360e-03
2.500000000000000000e+01,3.909722640732722111e-03
2.600000000000000000e+01,3.951056840574840301e-03
2.700000000000000000e+01,3.993689815819724195e-03
2.800000000000000000e+01,4.037690669365459790e-03
2.900000000000000000e+01,4.083133506353558116e-03
3.000000000000000000e+01,4.130097880393300905e-03
3.100000000000000000e+01,4.178669285857376271e-03
3.200000000000000000e+01,4.228939701476651207e-03
3.300000000000000000e+01,4.281008191075306828e-03
3.400000000000000000e+01,4.334981567966559104e-03
3.500000000000000000e+01,4.390975130277870175e-03
3.600000000000000000e+01,4.449113475294891318e-03
3.700000000000000000e+01,4.509531401805114137e-03
3.800000000000000000e+01,4.572374910382251065e-03
3.900000000000000000e+01,4.637802312571416563e-03
4.000000000000000000e+01,4.705985460997265737e-03
4.100000000000000000e+01,4.777111113494844283e-03
4.200000000000000000e+01,4.851382445413407116e-03
4.300000000000000000e+01,4.929020725202608137e-03
4.400000000000000000e+01,5.010267169163144969e-03
4.500000000000000000e+01,5.095384991694837905e-03
4.600000000000000000e+01,5.184661667309107408e-03
4.700000000000000000e+01,5.278411419817984410e-03
4.800000000000000000e+01,5.376977952088046221e-03
4.900000000000000000e+01,5.480737426028832286e-03
5.000000000000000000e+01,5.590101696348703623e-03
5.100000000000000000e+01,5.705521792070646775e-03
5.200000000000000000e+01,5.827491625516704153e-03
5.300000000000000000e+01,5.956551887637921532e-03
5.400000000000000000e+01,6.093294058772695011e-03
5.500000000000000000e+01,6.238364421955823295e-03
5.600000000000000000e+01,6.392467907571005963e-03
5.700000000000000000e+01,6.556371517991855212e-03
5.800000000000000000e+01,6.730906971960624006e-03
5.900000000000000000e+01,6.916972062185364895e-03
6.000000000000000000e+01,7.115530025627334575e-03
6.100000000000000000e+01,7.327605972339428647e-03
6.200000000000000000e+01,7.554279093029748517e-03
6.300000000000000000e+01,7.796668956662358360e-03
6.400000000000000000e+01,8.055913711511892422e-03
6.500000000000000000e+01,8.333137422401770689e-03
6.600000000000000000e+01,8.629403143069916057e-03
6.700000000000000000e+01,8.945647706457057063e-03
